hmm,frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon],uncertainty [nm]
1,1,4046.190498,17098.66936,122.8921416,3966.988283,24.248026,22.04361981,4.776690427
1,1,6471.846241,14902.76602,120.313346,3360.682013,25.12366469,19.74444802,4.884634702
1,1,7777.752173,13521.66728,124.5139211,8520.637866,36.39110952,51.57769102,5.043564634
1,1,9749.832565,9598.135033,126.8304293,5296.837446,29.31978546,27.72268853,4.703008067
1,1,10173.00303,28437.47349,126.945163,4812.525115,24.32286975,30.00397572,5.520395664
1,1,11687.62105,5679.950763,120.909602,3751.560322,25.07374167,23.95658988,5.233057314
1,1,12381.90797,15177.58938,124.2682275,16632.2399,67.93953135,91.01397217,4.477727228
1,1,13094.18566,27989.86622,127.2287372,12170.36628,43.54423898,82.63795931,5.802046277
1,1,18485.03534,19641.01227,126.6168953,10865.34612,63.15254149,61.97144284,4.88684819
1,1,19350.02971,29737.18013,127.0445319,10143.27581,54.99915795,61.00818501,5.18090988
1,1,31574.21501,26414.78544,124.0932193,3555.190652,26.43291993,23.1772225,5.610048832
1,1,32366.0433,11402.52535,127.1598445,5486.022027,37.77433102,36.69121073,5.859175478
1,2,4051.994723,17091.04685,119.8925942,4068.299595,22.67730398,23.49138487,4.704001237
1,2,6483.444272,14903.36898,116.3364174,3294.160865,26.34118771,17.9695942,4.348107629
1,2,7792.163079,13525.22955,119.9251429,8220.673081,40.07105637,47.95263362,4.543614192
1,2,9171.534191,18719.33726,121.8296825,8865.135184,40.84243769,43.11182779,3.959700587
1,2,10180.97738,28441.32098,123.0510511,4619.442222,24.70822411,31.3038067,5.618715237
1,2,11698.53143,5678.888567,115.5882498,3372.091207,27.09553935,20.45764075,4.66305689
1,2,12390.26645,15180.73924,119.8851216,15940.16876,68.00529348,82.23970668,3.954478063
1,2,13101.65385,27999.04473,123.0286707,12123.18188,44.91906688,72.3656624,4.808125502
1,2,15336.84661,16745.11927,122.0951236,6368.264535,39.67708569,42.17643642,5.338610508
1,2,17386.00981,16987.94705,125.7490016,13635.86448,60.63590684,68.67994239,4.261558617
